,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in,,,,,,,1,1
32,4.794,445.08404,"2,3-Dichloro-5,6-dicyano-1,4-bis trimethylsilyloxybenzene",,,,164.1196,,,C14 H18 Cl2 N2 O2 Si2,,,,,,,,,,,,,,,,,,,,,0.592,20.6,547,,,,,14182,7630,10624,12575,8300,23948,516,4072,2661,31182,16803,16343,54354,110202,28648,5150,5749,6223,14519,10587,,,,,,
33,4.855,353.1456,"Gallic acid, O,O',O-triacetyl-, tert-butyldimethylsilyl ester""",,,,311.09811,,,C19 H26 O8 Si,,,,,,,,,,,,,,,,,,,,,0.781,69,522,,,,,410353,8646153,239930,52082541,10992286,4260781,958,18458,57859,1179119,210708,931951,18907771,20513718,5978838,71600,34811,26869,3144093,8180187,,,,,,
36,4.868,285.03445,"Cyclopentasiloxane, decamethyl-",,,,135.0293,,,C10 H30 O5 Si5,,,,,,,,,,,,,,,,,,,,,0.891,92.8,599,,,,,294468,263080,51853,1295685,,169349,6285,12213,,230205,146433,175112,589647,795447,273477,65989,72166,69562,78413,305284,,,,,,
35,4.868,247.00976,"7,7,9,9,11,11-Hexamethyl-3,6,8,10,12,15-hexaoxa-7,9,11-trisilaheptadecane",,,,137.00856,,,C14 H36 O6 Si3,,,,,,,,,,,,,,,,,,,,,0.89,95.1,547,,,,,61696,110472,71243,624753,175574,127770,1424,6975,3474,193179,38877,109266,256339,350683,229850,34939,50012,34326,81180,134665,,,,,,
34,4.868,323.00787,"5,6-Dimethyl-2-thiouracil, 2TMS derivative",,,,323.00732,,,C12 H24 N2 O S Si2,,,,,,,,,,,,,,,,,,,,,0.64,29.3,614,,,,,174666,30381,24392,104124,43889,71824,,34538,23304,184617,147524,247204,198484,410990,188358,63436,70954,84401,82553,144641,,,,,,
37,4.881,356.06979,"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol",,,,281.05115,,,C12 H34 O5 Si4,,,,,,,,,,,,,,,,,,,,,0.889,92,603,,,,,4019463,1890090,348024,12856005,2778726,1444900,,115278,,3704602,1795692,3248148,,14083647,3704016,559618,542549,435247,765998,3950145,,,,,,
38,4.889,355.07049,"4-Hydroxythieno[3,2-d]pyrimidine-2-thiol, O,S-bis(tert-butyldimethylsilyl)-",,,,150.04825,,,C18 H32 N2 O S2 Si2,,,,,,,,,,,,,,,,,,,,,0.814,77.8,513,,,,,263247,142441,59079,316545,198926,102532,7054,52099,24606,205143,,163217,215508,316757,125558,51147,62018,48105,53899,146973,,,,,,
39,4.894,401.1123,4-Methyl-2-(trimethylsilyl)phenyl triflate,,,,297.04611,,,C11 H15 F3 O3 S Si,,,,,,,,,,,,,,,,,,,,,0.797,69.6,591,,,,,3364024,3482270,1459232,4545685,2397945,2534652,1944280,558807,1019223,4749582,3350184,3428126,3873617,8164837,3591695,1671580,1843621,1713275,1597027,3739180,,,,,,
40,4.898,489.056,Peak@4.898,,,,107.08549,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,584532,303577,284585,278267,215826,136358,122859,136598,150849,430677,389242,684893,377736,386871,316192,231719,265113,272246,296360,192277,,,,,,
41,4.916,445.08404,Peak@4.916,,,,324.9866,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1036648,1255162,172774,1276462,811245,821381,365958,355072,,881497,663401,525203,1092180,1491805,652820,266591,400161,361477,703025,1075851,,,,,,
42,4.964,110.07316,2-Isopropenyl-5-methylcyclohexanol,,,,69.03352,,,C10 H18 O,,,,,,,,,,,,,,,,,,,,,0.837,83.6,513,,,,,282938,303279,565767,324909,150696,66137,74389,132770,148511,320609,282799,279222,308345,324609,284239,205780,333188,332564,312273,207068,,,,,,
43,4.977,165.13449,1-Methyl-d3-2-(3-pyridyl)-pyrrolidine,,,,65.03856,,,C10 H11 D3 N2,,,,,,,,,,,,,,,,,,,,,0.961,97.6,853,,,,,3715936,3842020,4180588,4252004,2681825,1873669,27357,13658,1193649,3126586,3118873,3174052,2880426,2759857,2168578,2819183,2237814,2281647,2484097,1892316,,,,,,
44,5.029,281.0517,"Cyclotetrasiloxane, octamethyl-",,,,248.98856,,,C8 H24 O4 Si4,,,,,,,,,,,,,,,,,,,,,0.923,99.2,632,,,,,237201,108852,52175,517622,115477,126955,25623,34784,15430,97321,169338,115740,,860651,460262,23052,10693,13919,314200,273464,,,,,,
45,5.077,299.06232,"2-(Hydroxycarbonyl)-3-methoxy-6-phenyl-8-methylpyrazolo[3,4-b]thieno[2,3-d]pyridine",,,,299.06177,,,C17 H13 N3 O3 S,,,,,,,,,,,,,,,,,,,,,0.879,93.1,532,,,,,3085185,,,,,,,,,1394120,229102,273051,4082157,3992650,2941015,,,,4927021,1803128,,,,,,
46,5.098,300.06146,"2-[N-(4-Chlorophenyl)carbamoyl](4-chlorophenyl)amino-1(or 3)H-1,2,4-triazolo[1,5-a]benzimidazole",,,,284.02979,,,C21 H14 Cl2 N6 O,,,,,,,,,,,,,,,,,,,,,0.823,75.7,599,,,,,756410,,,1294732,310818,909018,175448,235312,,476715,359836,451584,2825777,3001449,2176198,4798,,,1865388,1877176,,,,,,
47,5.103,300.06189,"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol",,,,266.01947,,,C12 H34 O5 Si4,,,,,,,,,,,,,,,,,,,,,0.879,93.2,528,,,,,467562,47029,1041,,48648,42948,1304,851,,267496,168281,288766,312533,389524,284977,2381,,,210431,197236,,,,,,
48,5.208,164.12015,"phenol, 4-(2,2,4-Trimethylpentyl)-",,,,164.1196,,,C14 H22 O,,,,,,,,,,,,,,,,,,,,,0.968,98.2,877,,,,,29191,13484,4075,99640,33348,22287,776,1585,,34501,14562,37229,31276,97240,42333,1277,1549,4472,2671,5162,,,,,,
49,5.252,122.04796,Niacinamide,,,,122.04741,,,C6 H6 N2 O,,,,,,,,,,,,,,,,,,,,,0.973,99.3,878,,,,,50518356,278,18018,321,6081271,11846329,,,,12171816,212451463,11223055,199388,166149,6264915,33559471,3699459,7712903,811,19044,,,,,,
50,5.269,110.10954,"1H-2,3-Benzoxazine, 4a,5,6,7,8,8a-hexahydro-1-methyl-, 3-oxide, (1a,4aﬂ,8aa)-",,,,82.07767,,,C9 H15 N O2,,,,,,,,,,,,,,,,,,,,,0.932,97.2,714,,,,,325740,167933,121815,108057,150545,175701,46009,49160,61480,275217,267928,,253668,190035,231633,151882,150617,113055,161354,118014,,,,,,
51,5.286,168.09393,"6H-Benzo[3,4]cyclobuta[1,2]cycloheptene, 7,8-dihydro-",,,,168.09338,,,C13 H12,,,,,,,,,,,,,,,,,,,,,0.665,40.6,512,,,,,125690,22825,26368,28240,167872,105506,236332,92533,56513,,52474,35894,38382,59839,55253,32911,17424,20126,21041,28575,,,,,,
52,5.339,177.04034,"Disiloxane, 1,3-diethoxy-1,1,3,3-tetramethyl-",,,,181.07111,,,C8 H22 O3 Si2,,,,,,,,,,,,,,,,,,,,,0.891,94.7,557,,,,,111235,120883,58231,105100,78935,208287,,51132,54659,530179,327501,276249,,,,77219,101632,50433,108522,147757,,,,,,
53,5.434,378.17712,"6-Iodonordihydrocapsaicin, TMS",,,,237.04323,,,C20 H34 I N O3 Si,,,,,,,,,,,,,,,,,,,,,0.821,75.3,601,,,,,,9823,7343,8691,26354,27157,316,7561,,162087,99560,81566,2060,10994,14009,,606,8237,9356,8113,,,,,,
54,5.529,351.12982,"Decylphosphonic acid, 2TMS",,,,47.04916,,,C16 H39 O3 P Si2,,,,,,,,,,,,,,,,,,,,,0.629,30.8,528,,,,,600659,5357,,1601,52047,21513,,1322,,380955,79660,417890,10154,10631,12409,,2354,1019,6190,9001,,,,,,
55,5.538,206.16707,"Phenol, 2,6-bis(1,1-dimethylethyl)-",,,,416.03598,,,C14 H22 O,,,,,,,,,,,,,,,,,,,,,0.818,75.3,585,,,,,135419,44863,91052,76333,52129,,3620,18510,18359,250300,142099,195563,116243,147459,115306,84989,71947,82313,,109669,,,,,,
56,5.665,152.04739,"4-Hydroxy-3-((5-(4-hydroxyphenyl)-1,3,4-oxadiazol-2-yl) thio)-2H-chromen-2-one",,,,151.03905,,,C17 H10 N2 O5 S,,,,,,,,,,,,,,,,,,,,,0.954,99.1,789,,,,,1069761,59512,12735,24529,65448,,202,210,537,237626,3701887,1475102,11524,20464,21910,13955,3404,6466,60685,39806,,,,,,
57,5.677,503.10803,"Cycloheptasiloxane, tetradecamethyl-",,,,415.03662,,,C14 H42 O7 Si7,,,,,,,,,,,,,,,,,,,,,0.943,98.3,750,,,,,89327529,10669146,7418275,7555521,25082626,5898408,867357,608758,,24387088,12257742,24862237,2091245,19902355,1316077,508810,987721,354723,210410,1311726,,,,,,
58,5.705,236.1776,"2,6-Di(t-butyl)-4-hydroxy-4-methyl-2,5-cyclohexadien-1-one",,,,205.15868,,,C15 H24 O2,,,,,,,,,,,,,,,,,,,,,0.96,99.5,809,,,,,245904,775015,13907,2506716,2287829,1554408,16990,17299,8326,343348,249987,305082,2012666,2322572,1065670,12152,4639,23884,574196,637059,,,,,,
59,5.75,165.05508,"4H-1,3-Benzodioxin-4-one, 5-butyl-2-(1,1-dimethylethyl)hexahydro-, [2s-(2a,4aa,5ﬂ,8aﬂ)]-",,,,179.05547,,,C16 H28 O3,,,,,,,,,,,,,,,,,,,,,0.894,97.3,523,,,,,,25362,17054,23337,35802,16972,12489,29180,17878,31308,20849,30171,36686,20019,18023,15195,15183,14858,,20426,,,,,,
60,5.761,378.1409,"6-Iodonordihydrocapsaicin, TMS",,,,322.0777,,,C20 H34 I N O3 Si,,,,,,,,,,,,,,,,,,,,,0.835,83.4,509,,,,,54864,1469,,,,12633,,,,123589,124727,92368,475,976,1146,,,,,,,,,,,
61,5.79,382.97458,(4Z)-5-Methyl-4-undecene,,,,111.11682,,,C12 H24,,,,,,,,,,,,,,,,,,,,,0.92,93.6,727,,,,,182107,103269,,736710,174246,210624,,,2838,683159,309192,1029486,841184,1174656,280563,19903,21657,33367,,92973,,,,,,
62,5.797,140.15655,"Cyclooctane, 1,4-dimethyl-, trans-",,,,111.1168,,,C10 H20,,,,,,,,,,,,,,,,,,,,,0.965,99.7,833,,,,,182107,103269,,736710,174246,210624,,,2838,683159,309192,1029486,841184,1174656,280563,19903,21657,33367,,92973,,,,,,
64,5.906,111.11735,1-Undecanol,,,,111.1168,,,C11 H24 O,,,,,,,,,,,,,,,,,,,,,0.952,97.3,811,,,,,,,60774,,95998,1161005,1620,5521,5740,1119916,1070862,2464362,5036672,4380835,2656544,83589,36037,44632,112607,187164,,,,,,
63,5.908,103.04217,Phthalimidomethyl 3-methoxybenzoate,,,,66.01003,,,C17 H13 N O5,,,,,,,,,,,,,,,,,,,,,0.89,89.7,654,,,,,10145,8975,13258,69393,9478,22418,1964,1277,5718,8920,12352,10734,1027,10780,12560,9489,9921,17143,38902,37939,,,,,,
65,5.912,342.01767,1-(3-tert-butyl-2-hydroxyphenyl)ethanone,,,,107.01585,,,C12 H16 O2,,,,,,,,,,,,,,,,,,,,,0.551,3.5,685,,,,,8749024,4158,2791,7874,1259253,18711,2560,3083,218,107038,117577,76211,2876,2492,5011,3039,2615,2913,10638,5070,,,,,,
66,5.921,218.16707,"2,5-Ccyclohexadien-1-one, 2,6-bis(1,1-dimethylethyl)-4-methylene-",,,,175.11174,,,C15 H22 O,,,,,,,,,,,,,,,,,,,,,0.949,96.7,812,,,,,5015255,1615073,670848,1030493,1833493,1529899,233415,244849,187644,6737951,6480273,6025273,1536629,2020811,1447617,357622,298289,403632,589387,553751,,,,,,
67,5.926,217.1593,"6,6,8,8-Tetramethyl-2,5,7,9,12-pentaoxa-6,8-disilatridecane",,,,162.10382,,,C10 H26 O5 Si2,,,,,,,,,,,,,,,,,,,,,0.861,89.9,505,,,,,577101,214101,100123,138697,212550,180434,27547,32727,23259,753058,726257,654943,174564,247733,176121,48429,35000,54853,75661,72567,,,,,,
68,5.93,563.07513,(3-Glycidyloxypropyl)triethoxysilane,,,,475.00354,,,C12 H26 O5 Si,,,,,,,,,,,,,,,,,,,,,0.806,74.8,535,,,,,456560,293607,371303,184017,178254,133165,173544,144557,1543,247907,172779,284303,97832,799654,236626,78594,194002,53506,39940,94084,,,,,,
69,5.966,129.1281,2-tert-Butoxytetrahydrofuran,,,,58.07323,,,C8 H16 O2,,,,,,,,,,,,,,,,,,,,,0.915,96.7,640,,,,,91719,9690,,65062,251185,158655,,3336,,791730,233735,,473786,,247825,4430,1297,,33624,64490,,,,,,
70,6.017,178.04364,"1,3-bis(Cycloheptyloxy)-1,1,3,3-tetramethyldisiloxane",,,,168.05858,,,C18 H38 O3 Si2,,,,,,,,,,,,,,,,,,,,,0.821,77.1,563,,,,,807,6377,5419,27905,,,,,1499,3381,1398,532,,20362,19997,2234,2253,1026,58479,55369,,,,,,
71,6.026,364.16144,Peak@6.026,,,,160.09489,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,321692,480751,565817,243056,154204,,446,143934,117739,113511,217414,180530,156516,126043,136591,119932,126670,149509,251700,,,,,,
72,6.038,167.08612,N-(2-Nitrobenzylidene)-4-phenyl-1-piperazinamine,,,,143.06035,,,C17 H18 N4 O2,,,,,,,,,,,,,,,,,,,,,0.782,66.2,587,,,,,41144,39444,72431,70762,62122,17144,2196,613,21404,97818,15038,26616,27803,19617,16255,10452,25646,19768,29741,37876,,,,,,
73,6.091,206.16707,"2,4-Di-tert-butylphenol",,,,192.14638,,,C14 H22 O,,,,,,,,,,,,,,,,,,,,,0.969,98.6,871,1502,12,,,30348423,584920,235115,1127513,7545678,4675900,,,,22064170,21816249,19560688,3049994,4133716,2603014,188487,155321,420479,423160,364489,,,,,,
74,6.104,220.18274,"2,6-Di-tert-butyl-4-methyl-phenol",,,,177.12743,,,C15 H24 O,,,,,,,,,,,,,,,,,,,,,0.959,98.9,818,1503,,,,976734,663101,19798,1537015,616486,209602,8810,13205,8477,502779,375621,823901,548702,226430,2500560,17428,12847,68748,2249218,2332737,,,,,,
75,6.13,124.12521,"11-Hexadecen-1-ol, (Z)-",,,,68.06205,,,C16 H32 O,,,,,,,,,,,,,,,,,,,,,0.951,98.7,781,1506,361,,,395955,1460976,128473,403079,521689,327537,,,3089,111962,,,1101043,1058207,737549,86485,38167,34800,68118,62782,,,,,,
76,6.131,519.10284,Peak@6.131,,,,519.10229,,,,,,,,,,,,,,,,,,,,,,,,0,,,1506,,,,153854,220626,57630,451027,174730,116073,489,51124,25514,148132,133689,145706,72402,405798,208536,27279,34583,45135,31752,182012,,,,,,
77,6.135,415.03714,Peak@6.139,,,,415.00046,,,,,,,,,,,,,,,,,,,,,,,,0,,,1507,,,,11029,8965,1778,31308,6290,8495,,423,597,10573,6383,4403,1590,10979,13193,4392,2203,3403,896,,,,,,,
78,6.143,344.97699,"(5-(methylthio)-[1,1'-biphenyl]-3,3'-diyl)bis(triethylsilane)",,,,209.01164,,,C25 H40 S Si2,,,,,,,,,,,,,,,,,,,,,0.525,4.5,534,1507,,,,705368,1793616,,8270851,1577443,5549302,,,,822884,1165696,922429,13154715,14900341,8979203,,,,11821648,12121866,,,,,,
79,6.147,326.96643,Peak@6.147,,,,224.067,,,,,,,,,,,,,,,,,,,,,,,,0,,,1508,,,,964,44421,,162289,36870,124936,,199,,1295,,677,306435,314408,165051,919,,319,223011,216453,,,,,,
80,6.152,249.07986,Peak@6.152,,,,195.01347,,,,,,,,,,,,,,,,,,,,,,,,0,,,1508,,,,,9723,504,45552,7228,,216,,346,4035,1319,901,135734,152415,78069,210,254,,103454,129760,,,,,,
81,6.16,291.12683,"1,1,3,3,5,5-Hexamethyl-1,5-bis(2-methylpropoxy)trisiloxane",,,,205.05309,,,C14 H36 O4 Si3,,,,,,,,,,,,,,,,,,,,,0.906,96.4,600,1509,,,,5502,270371,18446,2003081,283702,1053676,2430,6468,1221,6249,10172,7572,3718145,4385970,2139673,11405,11307,10518,2518480,3025847,,,,,,
82,6.161,220.18274,Butylated Hydroxytoluene,,,,177.12743,,,C15 H24 O,,,,,,,,,,,,,,,,,,,,,0.934,94.2,782,1509,4,,,976734,663101,229920,2881442,682332,1195757,45428,71176,60316,502779,284669,823901,2558428,3100193,2500560,108598,83849,102260,2249218,2332737,,,,,,
83,6.169,206.16707,"2,4-Di-tert-butylphenol",,,,192.14638,,,C14 H22 O,,,,,,,,,,,,,,,,,,,,,0.969,98.7,869,1510,4,,,9314045,3621843,2920593,2034766,4634072,3374407,2271082,2264219,1499616,5827303,6614180,5471915,3398590,3757812,2053465,1990688,1663095,2033374,1500919,1511659,,,,,,
84,6.176,147.1174,Peak@6.176,,,,135.08037,,,,,,,,,,,,,,,,,,,,,,,,0,,,1511,,,,2573145,1151161,822365,620353,1315960,1043766,563737,558973,370337,1601454,1901554,1484555,1185076,1385314,918363,549103,442289,561127,842636,996154,,,,,,
