"Metabolite_name","Type","Alignment_ID","Average_Rt(min)","Average_Mz","Adduct_type","Post_curation_result","Fill_percent","MS.MS_assigned","Reference_RT","Reference_m.z","Formula","Ontology","Annotation_tag_(VS1.0)","RT_matched","m.z_matched","MS.MS_matched","Comment","Manually_modified_for_quantification","Manually_modified_for_annotation","Isotope_tracking_parent_ID","Isotope_tracking_weight_number","RT_similarity","m.z_similarity","Simple_dot_product","Weighted_dot_product","Reverse_dot_product","Matched_peaks_count","Matched_peaks_percentage","Total_score","S.N_average","Spectrum_reference_file_name","MS1_isotopic_spectrum","MS.MS_spectrum","Blank_1_1","Blank_1","Blank_2_1","Blank_2","Sample.Avg","Sample.Std","Isotope_tracking_weight_number2","HRF_Score","SI","P12_B_001","P12_D1_001","P12_D2_001","P12_D3_001","P14_B_001","P14_D1_001","P14_D2_001","P14_D3_001","P15_B_001","P15_D1_001","P15_D2_001","P15_D3_001","P16_B_001","P16_D1_001","P16_D2_001","P16_D3_001","QCB_001","QCB_002","QCP_001","QCP_002","Spk1_001","Spk2_002","QC_Pooled_Avg","QC_Blank_Avg","Solvent_Blank_Avg","LOD_pre_solv_sub","QC_Pool_Blank_Sub","QC_Pool_Blank_Ratio","SMILES","INCHIKEY"
"1-Undecanol","EI","64","5.906",111.11735,NA,NA,NA,NA,NA,"111.1168","C11 H24 O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.952",NA,NA,NA,NA,1620,NA,NA,NA,NA,NA,NA,"97.3","811",NA,0.0285563777944352,0.0275117664568155,0.0562634587811983,NA,0.128117424964582,0.133147175568807,0.0748811258913109,0.00192664092908894,0.00262200005759122,0.00126678257543854,0.00134414022232703,NA,0.00319327233522534,NA,0.00676086937518057,NA,0.00240832174785184,NA,0.03401946379637,0,0.000316325736592583,0.03401946379637,0.00240832174785184,0.000316325736592583,0.000253356515087708,0.0316111420485182,0.0707924664029777,"CCCCCCCCCCCO","KJIOQYGWTQBHNH-UHFFFAOYSA-N"
"1,1,3,3,5,5-Hexamethyl-1,5-bis(2-methylpropoxy)trisiloxane","EI","81","6.16",291.12683,NA,NA,NA,NA,NA,"205.05309","C14 H36 O4 Si3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.906","1509",NA,NA,NA,2430,NA,NA,NA,NA,NA,NA,"96.4","600",0.000132462228462965,0.000159341240626463,0.000261331234462263,0.000172875133560424,0.00695585976985057,0.0945781585628242,0.133303244159965,0.0603118650695185,0.000584770108565744,0.000357749352867337,0.000397466786371884,0.00031676077384916,0.0661200370468493,0.071418228980599,NA,0.109301769123774,NA,0.00711729094886417,NA,0.0308745376075934,0,6.72881052926035e-05,0.0308745376075934,0.00711729094886417,6.72881052926035e-05,2.64924456925929e-05,0.0237572466587292,0.230522997277657,"CC(C)CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OCC(C)C","SMHQTOYNUWUFGN-UHFFFAOYSA-N"
"1,1,3,3,5,5-Hexamethyl-1,5-bis(2-methylpropoxy)trisiloxane","EI","165","8.349",249.07991,NA,NA,NA,NA,NA,"151.02414","C14 H36 O4 Si3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.903","1706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97.6","560",0.00273579522562504,0.00481185557987195,0.00518377171057016,0.00237061761993041,0.0172376923518242,1.4857312739433,2.59321346292953,0.984451959148421,0.00443155311212712,0.0123535352819281,0.00267076448467115,0.000835178720325625,0.252915716305215,0.846230128290674,NA,0.668340713080919,NA,0.146430944588806,NA,0.273376918886549,0,0,0.273376918886549,0.146430944588806,0,0.000167035744065125,0.126945974297743,0.535637555596179,"CC(C)CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OCC(C)C","SMHQTOYNUWUFGN-UHFFFAOYSA-N"
"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol","EI","22","4.476",299.06235,NA,NA,NA,NA,NA,"86.04738","C12 H34 O5 Si4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97.7","620",0.00692429326212891,NA,0.00313209543718028,0.00191308755171186,NA,NA,0.000102151223930315,9.98398475263437e-05,2.57418046273113e-05,3.55083092894191e-05,NA,7.03511283239816e-05,3.7069295552008e-05,6.08272057603733e-05,NA,0.000142576304331163,NA,NA,NA,0.000231366519641292,0,0,0.000231366519641292,0,0,5.14836092546226e-06,0.000231366519641292,0,"CC(C)CO[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O","XQHJKGLZKGEFQS-UHFFFAOYSA-N"
"1,14-Tetradecanediol","EI","363","11.347",193.19568,NA,NA,NA,NA,NA,"110.10898","C14 H30 O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.96","2020",NA,NA,NA,6393,NA,NA,NA,NA,NA,NA,"99.1","815",NA,0.0159437370643611,0.00740696266359728,NA,0.00452886875658131,0.00685583510872439,0.011280947778568,0.0118667072076957,0.00557272028105486,0.00269530652297052,0.00206231373687678,0.0036958134061604,0.0152070925874811,0.0119548003668122,NA,0.0084818632609798,NA,0.00587622679267101,NA,0.0073059487303396,0,0.000662355231377397,0.0073059487303396,0.00587622679267101,0.000662355231377397,0.000412462747375355,0.00142972193766859,0.804307148812673,"C(CCCCCCCO)CCCCCCO","XLKZJJVNBQCVIX-UHFFFAOYSA-N"
"1,2-Benzenedicarboxylic acid, butyl 2-methylpropyl ester","EI","304","10.817",205.08646,NA,NA,NA,NA,NA,"149.02319","C16 H22 O4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.972","1955",NA,NA,NA,8003785,NA,NA,NA,NA,NA,NA,"98.4","891",0.581917860947354,1.46041186128138,0.86573886884887,1.02580994694112,0.937203742880349,0.816764762030614,1.98998337497189,1.52568208134343,0.545237829547407,0.472021804862267,0.420445969896997,0.611386390351367,1.98749576409853,0.356936538876978,NA,0.71718937059154,NA,0.706347487477281,NA,0.829167852044041,0,0.398175847571114,0.829167852044041,0.706347487477281,0.398175847571114,0.0713873077753957,0.12282036456676,0.851875148965331,"CCCCOC(=O)C1=CC=CC=C1C(=O)OCC(C)C","UVIVWIFUPKGWGF-UHFFFAOYSA-N"
"1,2-Benzenedicarboxylic acid, butyl 2-methylpropyl ester","EI","250","9.959",258.19839,NA,NA,NA,NA,NA,"76.03075","C16 H22 O4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.956","1860",NA,NA,NA,142151,NA,NA,NA,NA,NA,NA,"96.5","849",0.00669167784020794,0.0133060517874586,0.00849079876153864,0.010355453374855,0.00692480716900873,0.00629874111408879,0.0187003604622183,0.0136647828355064,0.00420339576249318,0.00356908696781686,0.00346292102759946,NA,0.0194322660787162,0.00279983799829321,NA,0.00598639864681469,NA,0.00614338046558997,NA,0.00723234276563102,0,0.00390133238163741,0.00723234276563102,0.00614338046558997,0.00390133238163741,0.000559967599658642,0.00108896230004105,0.849431597017783,"CCCCOC(=O)C1=CC=CC=C1C(=O)OCC(C)C","UVIVWIFUPKGWGF-UHFFFAOYSA-N"
"1,2-Benzenedicarboxylic acid, dinonyl ester","EI","823","16.355",293.17538,NA,NA,NA,NA,NA,"149.02316","C26 H42 O4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.968","2874","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99.3","850",0.00421616054113926,0.0376051447561241,0.0340575075669677,0.0109084163614944,NA,0.0108006436049611,0.21876002212618,0.0126502329676307,0.00500421315989528,NA,0.00243580667091775,91.3784662122895,268.740316579046,0.0568301352212888,NA,0.0158900875766009,NA,50.4976124128292,NA,6.2636206416559,0,0.00557372560957733,6.2636206416559,50.4976124128292,0.00557372560957733,0.00048716133418355,0,8.0620483426147,"CCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCC","DROMNWUQASBTFM-UHFFFAOYSA-N"
"1,2-Benzenedicarboxylic acid, dinonyl ester","EI","841","16.616",293.17538,NA,NA,NA,NA,NA,"149.02316","C26 H42 O4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.97","2927","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99.3","865",NA,0.0102150765066168,0.00825574965968107,NA,NA,0.00298955038589716,0.0421359665918996,0.00532544957457711,0.00225215429105105,NA,0.0012617557999498,17.174789727374,65.8756933163103,0.00876396679135157,NA,0.00567903057649448,NA,9.12400137548141,NA,1.00124142671449,0,0.000696577928663807,1.00124142671449,9.12400137548141,0.000696577928663807,0.00025235115998996,0,9.11268864036243,"CCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCC","DROMNWUQASBTFM-UHFFFAOYSA-N"
"1,2-Benzenedicarboxylic acid, dinonyl ester","EI","796","16.102",293.17538,NA,NA,NA,NA,NA,"149.02316","C26 H42 O4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.97","2821","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,"98.7","872",0.0330321603219578,0.254106211531578,0.109267953458377,0.1528787864951,0.023717678088724,0.040048167352552,0.481572751974032,0.114892128005734,0.0428270715019836,0.119691452867644,0.0251526487591598,155.987369141556,444.467554067532,0.338646095860387,NA,0.107020331518264,NA,88.7280471191946,NA,11.779923117515,0,0,11.779923117515,88.7280471191946,0,0.0047435356177448,0,7.53214144388338,"CCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCC","DROMNWUQASBTFM-UHFFFAOYSA-N"
"1,2-Benzenediol, 3,5-bis(1,1-dimethylethyl)-","EI","173","8.493",222.16194,NA,NA,NA,NA,NA,"179.10666","C14 H22 O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.942","1719","36",NA,NA,424,NA,NA,NA,NA,NA,NA,"99","730",0.054184105500411,0.0204706194156779,0.010051207254218,0.0180395384517036,0.00684850061217617,0.0342977699324662,0.0299860799581791,0.0120077006908483,0.00151087274228206,0.000983285310331644,0.000709408084882904,0.000893031681588625,0.0157773919812941,0.00576573852196299,NA,0.00911328808989004,NA,0.0140793171703647,NA,0.00925630168295409,0,0.000653592898255756,0.00925630168295409,0.0140793171703647,0.000653592898255756,0.000141881616976581,0,1.52105210618755,"CC(C)(C)C1=CC(=C(C(=C1)O)O)C(C)(C)C","PJZLSMMERMMQBJ-UHFFFAOYSA-N"
"1,2-Cyclohexanedicarboxylic acid, octyl 3-pentyl ester","EI","633","14.339",172.07355,NA,NA,NA,NA,NA,"70.07767","C21 H38 O4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.951","2478","137",NA,NA,109557,NA,NA,NA,NA,NA,NA,"99.8","758",0.167166850814524,1.56785995126336,0.00803755400747029,0.185364791189122,0.00288989859151886,0.0341173204188392,0.0253377585693358,0.0677097384469413,NA,NA,0.00225280392130671,0.112285851812877,0.426466466943596,0.0132571547965329,NA,0.0356943588838114,NA,0.0561745224706494,NA,NA,0,0.0205143853261891,0,0.0561745224706494,0.0205143853261891,0.000450560784261342,0,Inf,"CCCCCCCCOC(=O)C1CCCCC1C(=O)OC(CC)CC","MBZVBXUINDDMBB-UHFFFAOYSA-N"
"1,2-Dioctanoin","EI","440","12.241",270.18307,NA,NA,NA,NA,NA,"129.05464","C19 H36 O5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.911","2141","218",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99.3","568",0.0238544202070239,0.0718018301880331,0.0519329545109465,0.337143587729792,0.00245701453040466,0.0273455288952606,0.0260129717769632,0.013674648433088,5.11665919562567e-05,0.000174561608830051,0.000140538800027841,0.000521550017258011,0.0100674000995689,0.00261678922757843,NA,0.00722230076903065,NA,0.00492772965061824,NA,0.0314604258497702,0,0,0.0314604258497702,0.00492772965061824,0,1.02333183912513e-05,0.026532696199152,0.156632642995652,"CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC","ZQBULZYTDGUSSK-UHFFFAOYSA-N"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, triethyl ester","EI","129","7.637",214.08417,NA,NA,NA,NA,NA,"112.01547","C12 H20 O7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.956","1647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99.6","788",0.00266371381667955,0.00441252077919167,0.000170050279286838,0.000793691381813865,0.00587102545361367,0.00019372758609857,0.000123547969436694,0.000119768354641286,2.54881907886186e-05,0.000138959196247462,9.81100027207862e-05,4.64389725494776e-05,0.000110085574947415,0.000244102837848621,NA,0.00016959608533945,NA,0.00120059849045757,NA,0.000404481185046655,0,0,0.000404481185046655,0.00120059849045757,0,5.09763815772371e-06,0,2.96824310955054,"CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O","DOOTYTYQINUNNV-UHFFFAOYSA-N"
"1,8-Diphthalimido-3,6-dioxaoctane","EI","816","16.285",173.09651,NA,NA,NA,NA,NA,"96.08888","C22 H20 N2 O6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.92","2859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100","601",0.000579853284720193,NA,NA,0.00110476160035068,0.000139389388037365,0.00109495767741584,0.000335874196862216,0.000539986436776445,0.00130078537865497,NA,NA,NA,0.0201254916137898,0.00171986442991183,NA,0.00110423487385338,NA,0.00618597854396507,NA,0.000468388274628425,0,0,0.000468388274628425,0.00618597854396507,0,2.7877877607473e-05,0,13.206945773509,"C1=CC=C2C(=C1)C(=O)N(C2=O)CCOCCOCCN3C(=O)C4=CC=CC=C4C3=O","ZUEGADJOYPRDCU-UHFFFAOYSA-N"
"10-Heneicosene (c,t)","EI","403","11.832",167.18001,NA,NA,NA,NA,NA,"68.06205","C21 H42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.967","2083",NA,NA,NA,2371,NA,NA,NA,NA,NA,NA,"99.4","849",0.136888205129341,0.0790893779416391,0.0388234627354557,0.114138044401421,NA,0.598546839608897,0.374068816067011,0.43132110752777,NA,0.0419761227322753,0.0270839851151202,0.0983920761741298,0.124176693586523,0.037346940176032,NA,0.0578972137187375,NA,0.0315164818061425,NA,0.115241125902856,0,0.000315278665339054,0.115241125902856,0.0315164818061425,0.000315278665339054,0.00541679702302404,0.0837246440967135,0.273482939004863,"CCCCCCCCCCC=CCCCCCCCCC","QOJGJKKHTRAFOK-XUTLUUPISA-N"
"10,18-Bisnorabieta-8,11,13-triene","EI","379","11.635",242.20349,NA,NA,NA,NA,NA,"143.08557","C18 H26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.959","2057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98.2","832",0.00525573142900382,0.0229031678257473,0.0040550273352163,0.0372747052538333,0.0275737576451272,0.0124417828381422,0.111228914783814,0.0888331385535518,0.00952348495848025,0.035166024244396,0.00276335558003716,0.0278286295904375,0.0219534733137712,0.0288954182112854,NA,0.00696301201491636,NA,0.0126958580242675,NA,0.029631997427073,0,0,0.029631997427073,0.0126958580242675,0,0.000552671116007433,0.0169361394028055,0.428450969446563,"CC1CCCC2C1CCC3=C2C=CC(=C3)C(C)C","XWUVCHRGACWHNI-UHFFFAOYSA-N"
"11-Hexadecen-1-ol, (Z)-","EI","116","7.254",137.13304,NA,NA,NA,NA,NA,"83.08109","C16 H32 O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.966","1615","252",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99.7","834",0.00148515629760512,0.00195434619744203,0.00246692369205027,0.00137252171213048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000538948479229787,NA,0.0006137834963179,0,7.34603147870929e-05,0.0006137834963179,0.000538948479229787,7.34603147870929e-05,0.000107789695845957,7.4835017088113e-05,0.878075872784052,"CCCCC=CCCCCCCCCCCO","RHVMNRHQWXIJIS-WAYWQWQTSA-N"
"11-Hexadecen-1-ol, (Z)-","EI","75","6.13",124.12521,NA,NA,NA,NA,NA,"68.06205","C16 H32 O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.951","1506","361",NA,NA,NA,NA,NA,NA,NA,NA,NA,"98.7","781",0.00953273022011144,0.00285488301856617,NA,NA,0.0375866649275152,0.028007143195999,0.0321621958410076,0.0207896046592906,0.00407281633729626,0.0027128411032645,0.00134165692362746,0.00104803906921,0.0133053023880747,0.00193166787971334,NA,0.00226785546960199,NA,0.0130877202057863,NA,0.00959740320969475,0,0.000170231742218552,0.00959740320969475,0.0130877202057863,0.000170231742218552,0.000209607813842,0,1.36367306028842,"CCCCC=CCCCCCCCCCCO","RHVMNRHQWXIJIS-WAYWQWQTSA-N"
